text,incident_type,source,source_url,article_title,date
"Welcome to the 24th edition of Cloudflare’s Quarterly DDoS Threat Report. In this report,Cloudforce Oneoffers a comprehensive analysis of the evolving threat landscape ofDistributed Denial of Service (DDoS) attacksbased on data from theCloudflare network. In this edition, we focus on the fourth quarter of 2025, as well as share overall 2025 data.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"The fourth quarter of 2025 was characterized by an unprecedented bombardment launched by theAisuru-Kimwolf botnet, dubbed “The Night Before Christmas"" DDoS attack campaign. The campaign targeted Cloudflare customers as well as Cloudflare’s dashboard and infrastructure with hyper-volumetric HTTP DDoS attacks exceeding rates of 200 million requests per second (rps), just weeks after a record-breaking 31.4 Terabits per second (Tbps) attack.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"DDoS attacks surged by 121% in 2025, reaching an average of 5,376 attacks automatically mitigated every hour.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"In the final quarter of 2025, Hong Kong jumped 12 places, making it the second most DDoS’d place on earth. The United Kingdom also leapt by an astonishing 36 places, making it the sixth most-attacked place.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"Infected Android TVs — part of the Aisuru-Kimwolf botnet — bombarded Cloudflare’s network with hyper-volumetric HTTP DDoS attacks, while Telcos emerged as the most-attacked industry.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"In 2025, the total number of DDoS attacks more than doubled to an incredible 47.1 million. Such attacks have soared in recent years: The number of DDoS attacks spiked 236% between 2023 and 2025.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"In 2025, Cloudflare mitigated an average of 5,376 DDoS attacks every hour — of these, 3,925 were network-layer DDoS attacks and 1,451 were HTTP DDoS attacks.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"The most substantial growth was in network-layer DDoS attacks, which more than tripled year over year. Cloudflare mitigated 34.4 million network-layer DDoS attacks in 2025, compared to 11.4 million in 2024.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"A substantial portion of the network-layer attacks — approximately 13.5 million — targeted global Internet infrastructure protected byCloudflare Magic Transitand Cloudflare’s infrastructure directly, as part of an 18-day DDoS campaign in the first quarter of 2025. Of these attacks, 6.9 million targeted Magic Transit customers while the remaining 6.6 million targeted Cloudflare directly.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"This assault was a multi-vector DDoS campaign comprisingSYN flood attacks,Mirai-generated DDoS attacks, andSSDP amplification attacksto name a few. Our systems detected and mitigated these attacks automatically. In fact, we only discovered the campaign while preparing ourDDoS threat report for 2025 Q1— an example of how effective Cloudflare’s DDoS mitigation is!",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"In the final quarter of 2025, the number of DDoS attacks grew by 31% over the previous quarter and 58% over 2024. Network-layer DDoS attacks fueled that growth. In 2025 Q4, network-layer DDoS attacks accounted for 78% of all DDoS attacks. The amount of HTTP DDoS attacks remained the same, but surged in their size to rates that we haven’t seen since theHTTP/2 Rapid Reset DDoS campaignin 2023. These recent surges were launched by theAisuru-Kimwolf botnet, which we will cover in the next section.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"On Friday, December 19, 2025, theAisuru-Kimwolf botnetbegan bombarding Cloudflare infrastructure and Cloudflare customers with hyper-volumetric DDoS attacks. What was new in this campaign was its size: The botnet used hyper-volumetric HTTP DDoS attacks exceeding rates of 20 million requests per second (Mrps).",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"The Aisuru-Kimwolf botnet is a massive collection ofmalware-infected devices, primarily Android TVs. The botnet comprises an estimated 1-4 million infected hosts. It is capable of launching DDoS attacks that can cripple critical infrastructure, crash most legacy cloud-based DDoS protection solutions, and even disrupt the connectivity of entire nations.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"Throughout the campaign, Cloudflare’s autonomous DDoS defense systems detected and mitigated all of the attacks: 384 packet-intensive attacks, 329 bit-intensive attacks, and 189 request-intensive attacks, for a total of 902 hyper-volumetric DDoS attacks, averaging 53 attacks a day.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"The average size of the hyper-volumetric DDoS attacks during the campaign were 3 Bpps, 4 Tbps, and 54 Mrps. The maximum rates recorded during the campaign were 9 Bpps, 24 Tbps, and 205 Mrps.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"To put that in context, the scale of a 205 Mrps DDoS attack is comparable to the combined populations of the UK, Germany, and Spain all simultaneously typing a website address and then hitting 'enter’ at the same second.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"While highly dramatic, The Night Before Christmas campaign accounted for only a small portion of the hyper-volumetric DDoS attacks we saw throughout the year.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"Throughout 2025, Cloudflare observed a continuous increase in hyper-volumetric DDoS attacks. In 2025 Q4, hyper-volumetric attacks increased by 40% compared to the previous quarter.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"As the number of attacks increased over the course of 2025, the size of the attacks increased as well, growing by over 700% compared to the large attacks seen in late 2024, with one reaching 31.4 Tbps in a DDoS attack that lasted just 35 seconds. The graph below portrays the rapid growth in DDoS attack sizes as seen and blocked by Cloudflare — each one a world record, i.e. the largest ever disclosed publicly by any company at the time.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"Like all of the other attacks, the 31.4 Tbps DDoS attack was detected and mitigated automatically by Cloudflare’s autonomous DDoS defense, which was able to adapt and quickly lock on to botnets such as Aisuru-Kimwolf.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"Most of the hyper-volumetric DDoS attacks targeted Cloudflare customers in the Telecommunications, Service Providers and Carriers industry. Cloudflare customers in the Gaming industry and customers providing Generative AI services were also heavily targeted. Lastly, Cloudflare’s own infrastructure itself was targeted by multiple attack vectors such asHTTP floods,DNS attacksandUDP flood.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"When analyzing DDoS attacks of all sizes, the Telecommunications, Service Providers and Carriers industry was also the most targeted. Previously, the Information Technology & Services industry held that unlucky title.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"The most-attacked industries are defined by their role as critical infrastructure, a central backbone for other businesses, or their immediate, high-stakes financial sensitivity to service interruption and latency.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"The DDoS landscape saw both predictable stability and dramatic shifts among the world's most-attacked locations. Targets like China, Germany, Brazil, and the United States were the top five, demonstrating persistent appeal for attackers.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
"Hong Kong made a significant move, jumping twelve spots to land at number two. However, the bigger story was the meteoric rise of the United Kingdom, which surged an astonishing 36 places this quarter, making it the sixth most-attacked location.",Denial of Service,Cloudflare Blog,https://blog.cloudflare.com/ddos-threat-report-2025-q4/,2025 Q4 DDoS threat report: A record-setting 31.4 Tbps attack caps a year of massive DDoS assaults,
