incident_id,incident_title,incident_description,incident_type,asset_type,business_impact,user_privilege,recommended_action_ids,outcome
INC-fcbff663,Phishing incident reported,SECURITY EVENT: unexpected login prompts // SOURCE: identified through user complaints // IMPACT: identity misuse,Phishing,Application,Low,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-9b461865,Phishing incident reported,Critical alert: Risk of identity misuse detected. Root cause appears to be unexpected login prompts as noted by flagged during security awareness review.,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-810c29a7,Insider Misuse incident reported,SECURITY EVENT: policy violations by internal users // SOURCE: reported by internal teams // IMPACT: policy violations,Insider Misuse,Server,Medium,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-b07493d0,Data Breach incident reported,Incident Log: unauthorized database queries was identified via reported by monitoring teams. This has resulted in exposure of sensitive information.,Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-fa60feb2,Malware incident reported,Critical alert: Risk of risk of lateral movement detected. Root cause appears to be frequent application crashes as noted by detected by endpoint protection software.,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-3843e817,Insider Misuse incident reported,Critical alert: Risk of policy violations detected. Root cause appears to be repeated access to restricted resources as noted by identified by access control review.,Insider Misuse,Server,Medium,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-6d2b43ac,Denial of Service incident reported,SECURITY EVENT: service unavailability due to traffic spikes // SOURCE: observed during traffic analysis // IMPACT: service disruption,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Success
INC-b81ca5f7,Phishing incident reported,SECURITY EVENT: unexpected login prompts // SOURCE: detected during email analysis // IMPACT: unauthorized account access,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-2e5dd60e,Phishing incident reported,Critical alert: Risk of credential compromise detected. Root cause appears to be users entering credentials on suspicious links as noted by reported by employees.,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-6256b314,Data Breach incident reported,Critical alert: Risk of legal and financial impact detected. Root cause appears to be abnormal data access patterns as noted by identified through abnormal access logs.,Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-82b9e242,Phishing incident reported,SECURITY EVENT: unexpected login prompts // SOURCE: identified through user complaints // IMPACT: risk of further attacks,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-5b74eb14,Data Breach incident reported,"detected during a security audit flagged access from unfamiliar locations, posing an immediate risk of regulatory non-compliance.",Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-d1ed6c3a,Data Breach incident reported,SECURITY EVENT: unexpected access to sensitive records // SOURCE: discovered during compliance review // IMPACT: regulatory non-compliance,Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-66f3f30f,Insider Misuse incident reported,SECURITY EVENT: policy violations by internal users // SOURCE: identified by access control review // IMPACT: loss of data integrity,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-442147f9,Malware incident reported,"detected by endpoint protection software flagged unusual system slowdown, posing an immediate risk of risk of lateral movement.",Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-a67ef271,Phishing incident reported,Incident Log: unexpected login prompts was identified via flagged during security awareness review. This has resulted in risk of further attacks.,Phishing,Application,Low,User,IR-ID-01;IR-CON-02;IR-POST-01,Failure
INC-1e25ee7f,Denial of Service incident reported,Incident Log: service unavailability due to traffic spikes was identified via identified by network monitoring tools. This has resulted in business continuity issues.,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Partial
INC-1ceb7be5,Ransomware incident reported,Incident Log: inaccessible system data was identified via identified by system administrators. This has resulted in data loss.,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-4cd1c4b3,Insider Misuse incident reported,SECURITY EVENT: misuse of privileged system access // SOURCE: reported by internal teams // IMPACT: loss of data integrity,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-b60e727d,Ransomware incident reported,Critical alert: Risk of business disruption detected. Root cause appears to be inaccessible system data as noted by reported during service disruption.,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-02d346e6,Denial of Service incident reported,"reported by service owners flagged resource exhaustion on network devices, posing an immediate risk of service disruption.",Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Partial
INC-a9f58954,Data Breach incident reported,"discovered during compliance review flagged unexpected access to sensitive records, posing an immediate risk of legal and financial impact.",Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-36dcf23a,Phishing incident reported,Critical alert: Risk of credential compromise detected. Root cause appears to be suspicious email campaigns as noted by flagged during security awareness review.,Phishing,Application,Low,User,IR-ID-01;IR-CON-02;IR-POST-01,Failure
INC-f74369a2,Phishing incident reported,"flagged during security awareness review flagged unexpected login prompts, posing an immediate risk of risk of further attacks.",Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-2804b2d0,Insider Misuse incident reported,"discovered during policy enforcement checks flagged unauthorized internal data access, posing an immediate risk of unauthorized data access.",Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-ad26481d,Insider Misuse incident reported,SECURITY EVENT: repeated access to restricted resources // SOURCE: detected during privilege audits // IMPACT: loss of data integrity,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-fb4303a4,Denial of Service incident reported,"reported by service owners flagged resource exhaustion on network devices, posing an immediate risk of business continuity issues.",Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Success
INC-f535c248,Denial of Service incident reported,Critical alert: Risk of business continuity issues detected. Root cause appears to be resource exhaustion on network devices as noted by reported by service owners.,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Success
INC-29ce8bff,Insider Misuse incident reported,Incident Log: repeated access to restricted resources was identified via identified by access control review. This has resulted in unauthorized data access.,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-24c1e4a7,Phishing incident reported,Incident Log: suspicious email campaigns was identified via identified through user complaints. This has resulted in risk of further attacks.,Phishing,Application,Low,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-2200f78b,Malware incident reported,Critical alert: Risk of system instability detected. Root cause appears to be high CPU usage by unknown executables as noted by identified during routine system monitoring.,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-45a19a38,Phishing incident reported,"flagged during security awareness review flagged employees reporting deceptive emails, posing an immediate risk of risk of further attacks.",Phishing,Application,Low,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
