text,incident_type,source
"Multiple hosts showing signs of Cobalt Strike infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Cobalt Strike infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-4030, identified as Cobalt Strike variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-5623, identified as Qakbot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 46fdb5..., analysis confirmed it as worm attempting privilege escalation.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-5583, identified as Qakbot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed backdoor infection spreading through network share, affecting 494 workstations.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of IcedID infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed trojan infection spreading through network share, affecting 227 workstations.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed infostealer infection spreading through network share, affecting 478 workstations.",Malware,Synthetic-Enhanced
"Automated scan discovered Cobalt Strike trojan on server SRV-APP-64, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Automated scan discovered Cobalt Strike trojan on server SRV-APP-84, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-8011, identified as Qakbot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-6705, identified as Cobalt Strike variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed trojan infection spreading through network share, affecting 496 workstations.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed loader infection spreading through network share, affecting 71 workstations.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 222380..., analysis confirmed it as loader attempting privilege escalation.",Malware,Synthetic-Enhanced
