incident_id,incident_title,incident_description,incident_type,asset_type,business_impact,user_privilege,recommended_action_ids,outcome
INC-57f45f4d,Phishing incident reported,"Compliance alert: employee forwarded suspicious email to IT documented brand impersonation caught in email headers, leading to business email compromise attempts possible.",Phishing,Network,Low,User,IR-ID-02;IR-POST-01;IR-ID-01;IR-CON-02;IR-CON-01,Partial
INC-0b728826,Insider Misuse incident reported,Analysis shows after-hours interaction to sensitive systems; The incident was automated analysis caught unauthorized access; Security team assesses violation of privacy regulations and policies.,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-HR-01;IR-ID-02,Failure
INC-10ce63a8,Ransomware incident reported,"Tactical assessment: critical business content rendered inaccessible identified via network monitoring tools caught datasets exfiltration, generating financial losses from downtime and recovery.",Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-ISO-01,Partial
INC-2a4f30aa,Ransomware incident reported,"Threat assessment: customer service capabilities degraded; Root cause identified as users unable to open documents and databases, which was server administrator observed encryption process.",Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-POST-01;IR-ERA-01,Failure
INC-bf47720f,Ransomware incident reported,"Tactical assessment: desktop wallpaper replaced with threat message identified via backup system alerted to deletion attempt, generating financial losses from downtime and recovery.",Ransomware,Database,High,Guest,IR-CON-01;IR-ISO-01;IR-POST-01;IR-REC-01,Success
INC-7406c10c,Malware incident reported,"Tactical assessment: memory usage spiking due to hidden processes identified via user reported unexpected behavior to helpdesk, generating compromise of sensitive business information.",Malware,Application,High,Guest,IR-POST-01;IR-ID-01;IR-ERA-01,Success
INC-97ee04e6,Phishing incident reported,Risk identified: spread of attack to additional employees; Contributing factor: domain name similar to legitimate site accessed; Detection source: safety awareness training prompted individual report.,Phishing,Endpoint,Medium,Guest,IR-POST-01;IR-EDU-01;IR-ID-02,Success
INC-1d637e7f,Insider Misuse incident reported,"Event sequence: First, audit trail analysis showed policy breach; Investigation revealed employee bypassing threat detection controls; Resulting in data integrity and confidentiality compromise.",Insider Misuse,Application,Low,Admin,IR-ID-01;IR-HR-01;IR-CON-01,Success
INC-351d3962,Ransomware incident reported,ransom demand note appeared on desktop - backup system alerted to deletion attempt. This poses customer service capabilities degraded.,Ransomware,Server,High,Service Account,IR-ID-01;IR-REC-01;IR-ISO-01;IR-CON-01;IR-ID-02,Success
INC-7bf744bc,Data Breach incident reported,What happened: large data transfer to external IP address. How discovered: third-party protective assessment found evidence. Why concerning: forensic investigation and recovery costs.,Data Breach,Application,Medium,Service Account,IR-POST-01;IR-LEGAL-01;IR-ID-02;IR-NOTIF-01,Partial
INC-64377d2d,Ransomware incident reported,ransom demand note appeared on desktop - network monitoring tools caught files exfiltration. This poses ransom payment consideration by leadership.,Ransomware,Database,High,Service Account,IR-ERA-01;IR-ISO-01;IR-REC-01,Failure
INC-d1fc2142,Phishing incident reported,"Executive summary - domain reputation check flagged spoofed site identified suspicious authentication requests from users, presenting identity theft and account takeover vulnerability.",Phishing,Application,Medium,Guest,IR-CON-01;IR-ID-02;IR-EDU-01;IR-ID-01,Success
INC-55baebf3,Insider Misuse incident reported,Analysis shows after-hours connection to sensitive systems. The incident was staff member behavior analytics identified deviation. Security team assesses legal action against employee possible.,Insider Misuse,Database,Medium,Service Account,IR-POST-01;IR-CON-01;IR-HR-01,Partial
INC-87bb103e,Malware incident reported,Security incident: endpoint experiencing severe performance degradation; Discovery method: security operations center detected anomaly; Impact assessment indicates illegitimate interaction to company resources.,Malware,Endpoint,Medium,Guest,IR-ID-02;IR-POST-01;IR-CON-01;IR-SCAN-01;IR-ERA-01,Success
INC-b00ec410,Ransomware incident reported,"Threat assessment: permanent information loss if backups compromised; Root cause identified as users unable to open documents and databases, which was automated system flagged suspicious file actions.",Ransomware,Server,High,User,IR-ERA-01;IR-ID-01;IR-CON-01,Success
INC-4bdefa61,Denial of Service incident reported,legitimate users unable to access services - load balancer submitted abnormal request volume. This poses brand reputation damage from outage.,Denial of Service,Application,High,Guest,IR-MIT-01;IR-BLOCK-01;IR-POST-01;IR-ID-02;IR-CON-01,Success
INC-3e1a1e75,Malware incident reported,"Tactical assessment: legitimate software behaving abnormally identified via employee flagged unusual behavior to helpdesk, generating operational disturbance for affected users.",Malware,Endpoint,Medium,User,IR-ERA-01;IR-POST-01;IR-ID-02;IR-SCAN-01;IR-ID-01,Partial
INC-c05a60f7,Phishing incident reported,"Executive summary - domain reputation check flagged spoofed site identified suspicious authentication requests from users, presenting business email compromise attempts possible.",Phishing,Network,Medium,Service Account,IR-ID-01;IR-CON-02;IR-ID-02,Success
INC-d0e3a6a1,Denial of Service incident reported,"Tactical assessment: bandwidth exhausted by malicious traffic identified via customer complaints triggered investigation, generating potential for data breach during distraction.",Denial of Service,Network,High,Service Account,IR-ID-01;IR-CON-01;IR-ID-02;IR-BLOCK-01,Partial
INC-8b3d8f73,Ransomware incident reported,"Tactical assessment: ransom demand note appeared on desktop identified via file integrity monitoring detected mass changes, generating regulatory reporting requirements triggered.",Ransomware,Database,High,Service Account,IR-REC-01;IR-ISO-01;IR-ID-02;IR-ERA-01,Success
INC-f455dc14,Malware incident reported,Analysis shows unexpected outbound network connections initiated. The incident was IT administrator noticed during routine check. Security team assesses threat to network defensive posture.,Malware,Endpoint,Low,Admin,IR-ID-01;IR-SCAN-01;IR-CON-01;IR-POST-01;IR-ID-02,Success
INC-046a3576,Insider Misuse incident reported,Analysis shows after-hours engagement to sensitive systems. The incident was manager communicated suspicious employee operations. Security team assesses revision of access controls required.,Insider Misuse,Server,Low,Guest,IR-CON-02;IR-CON-01;IR-ID-01,Success
INC-cb11b06c,Ransomware incident reported,ransom demand note appeared on desktop - server administrator observed encryption process; This poses extended recovery time impacting revenue.,Ransomware,Database,High,User,IR-ERA-01;IR-POST-01;IR-ID-02;IR-ISO-01,Success
INC-5d5dfd6f,Phishing incident reported,"Tactical assessment: credential entry on spoofed company website identified via threat intelligence identified phishing campaign, generating sensitive information disclosure anticipated.",Phishing,Application,Medium,Admin,IR-CON-01;IR-CON-02;IR-EDU-01,Partial
INC-f7b9b0c8,Denial of Service incident reported,What happened: CPU resources depleted on web servers. How discovered: traffic analysis identified attack signature. Why concerning: revenue loss from service unavailability.,Denial of Service,Application,High,Admin,IR-ID-01;IR-CON-01;IR-POST-01;IR-BLOCK-01;IR-MIT-01,Success
INC-8d2f575f,Insider Misuse incident reported,Risk identified: revision of access controls required. Contributing factor: unusual files usage patterns by trusted user. Detection source: peer notified concerning behavior to protective.,Insider Misuse,Server,Low,Guest,IR-POST-01;IR-ID-01;IR-CON-01,Success
INC-abedad6c,Denial of Service incident reported,"URGENT: service owner escalated performance issues detected bandwidth exhausted by malicious traffic, which threatens customer dissatisfaction and complaints.",Denial of Service,Network,High,User,IR-MIT-01;IR-ID-01;IR-ID-02;IR-CON-01;IR-POST-01,Success
INC-61d85ed8,Malware incident reported,Security incident: endpoint experiencing severe performance degradation; Discovery method: threat intelligence match triggered alarm; Impact assessment indicates unpermitted interaction to company resources.,Malware,Application,Low,Service Account,IR-ID-01;IR-ERA-01;IR-SCAN-01;IR-ID-02,Failure
INC-aef88006,Malware incident reported,"Forensic analysis: multiple applications terminating unexpectedly discovered through individual flagged anomalous behavior to helpdesk, resulting in possible installation of additional malware.",Malware,Endpoint,High,Guest,IR-ERA-01;IR-ID-01;IR-SCAN-01;IR-CON-01,Success
INC-762b97c9,Data Breach incident reported,"URGENT: log analysis identified suspicious queries detected privileged account accessing unrelated datasets, which threatens forensic investigation and recovery costs.",Data Breach,Server,Critical,Guest,IR-ID-01;IR-CON-01;IR-LEGAL-01;IR-CON-02;IR-NOTIF-01,Partial
INC-9efb4852,Ransomware incident reported,"Event sequence: First, security monitoring caught ransomware signature. Investigation revealed encryption process consuming server resources. Resulting in customer service capabilities degraded.",Ransomware,Endpoint,Medium,Admin,IR-REC-01;IR-ID-01;IR-ID-02;IR-POST-01;IR-ISO-01,Partial
INC-5199dd49,Denial of Service incident reported,"Investigation timeline: intrusion detection workstation caught flood attack, revealing application servers failing under load pressure. Potential consequences include competitive disadvantage during downtime.",Denial of Service,Network,High,Guest,IR-CON-01;IR-BLOCK-01;IR-MIT-01;IR-ID-01,Success
INC-b3f61b0c,Insider Misuse incident reported,"Investigation timeline: privileged usage management workstation alerted, revealing internal staff member violating acceptable use policy. Potential consequences include data integrity and confidentiality compromise.",Insider Misuse,Server,Medium,Guest,IR-CON-02;IR-CON-01;IR-ID-01,Success
INC-d59e8f11,Insider Misuse incident reported,"Compliance alert: automated monitoring caught unverified access documented privileged credentials used for personal purposes, leading to revision of engagement controls required.",Insider Misuse,Server,Medium,Guest,IR-CON-01;IR-HR-01;IR-POST-01,Success
INC-6767c11d,Phishing incident reported,"URGENT: employee forwarded suspicious email to IT detected domain name similar to legitimate site accessed, which threatens identity theft and account takeover risk.",Phishing,Application,Low,User,IR-CON-01;IR-ID-02;IR-EDU-01,Success
